_id,displayName,generalAreaId,generalAreaDisplayName,location,image,type,difficulty,correctAnswer,link,description
morning-cuppa-joe,Morning Cuppa Joe (Bruin),bruin-walk,Bruinwalk,Kerckhoff Hall,https://zagat-photos.imgix.net/ChIJLRWe7Yi8woARWSwZigJvSAE/497a7ae074ce425933b6164a916b33cf.jpg,Blue,Lower Div,brewed_coffee_tall_hot_caramel_muffin,https://drive.google.com/file/d/1NNd9mFc8Ty2Io30qb_0esl3fsWfq6AUm/view?usp=sharing,You really should try to kick your caffeine habit.
spring-songwriting,Spring Songwriting,bruin-walk,Bruinwalk,Pauley Pavilion,https://f9e47ffe2587c2143b16-777a3c0fbb0630c160bd9659a57928a0.ssl.cf1.rackcdn.com/NBBJ041.jpg,Gold,Upper Div,,https://drive.google.com/file/d/1nhtTePiHQxAokQ8GhRaH8O-31bmCnnZw/view?usp=sharing,"Since 1945, UCLA has annually held the Spring Sing, a schoolwide competition showcasing UCLA’s best singers and songwriters as well as an amazing celebration of talent for all of its students to witness. Are you ready to become a part of this time-honored tradition?"
ucla-dance,U-C-L-A dance dance dance!,bruin-walk,Bruinwalk,Drake Stadium,https://pbs.twimg.com/media/Bk_F7TQCIAAGZSc.jpg,Gold,Lower Div,,https://drive.google.com/file/d/1AB8pLeF2TzaE7wz3WiTWCusYPYHTgfug/view?usp=sharing,"The Eight Clap is an iconic chant that keeps the Bruin spirit up during games. The moves for it are a bit simple, though...."
no-thoughts,no thoughts pod empty,north-campus,North Campus,YRL,https://wp.dailybruin.com/images/44110_web.ns.10.12.yrl.picao.jpg,Blue,Lower Div,poddo,https://drive.google.com/file/d/1obvhEZPlpETO1A6LbIlUK_VOD9WPXb56/view?usp=sharing,"They say YRL is the best place to do group projects...not like you’d know, it’s always way too crowded."
passing-notes,Passing Notes,pct,Powell Cat Territory,Schoenberg Hall,https://i.pinimg.com/originals/61/24/ef/6124efa655b66d16a2c15e8be591cb3f.png,Blue,Super Senior,bassesarecool,https://drive.google.com/file/d/14IS_X7TAFeFT5qBaXkkCOtwOlCs8tIIH/view?usp=sharing,"I’m pretty sure when they said “read between the lines”, this isn’t what they meant, but at this point, I simply do not care."
covel-food,"So, how about that Covel food?",hill,The Hill,Sunset Village Plaza,https://wp.dailybruin.com/images/2020/01/web.ns_.covel_.TS_.jpg,Gold,Lower Div,,https://drive.google.com/file/d/1dE1rfsYQsPp4TENtYWj2m0eChaFwY8jM/view?usp=sharing,"Cards Against Humanity, but make it ✨ free-reign✨ and ✨ UCLA themed✨
"
pyramids-of-success,Pyramids of Success,bruin-walk,Bruinwalk,John Wooden Center,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQ0oxprFoEd6WYJLLQ2lmzcdx6Shiu7D6UcPg&usqp=CAU,Blue,Lower Div,thou_didst_thy_best,https://drive.google.com/file/d/1V7QPXz0wcFT5mWSy2DujNzEZDytbZhC-/view?usp=sharing,“Success is peace of mind which is a direct result of self-satisfaction in knowing you did your best to become the best you are capable of becoming” - Coach Wooden
no-difference,There is No Difference,pct,Powell Cat Territory,Royce Hall,https://i.pinimg.com/originals/5f/35/11/5f351140d8e33d5897d3980c510e386d.jpg,Blue,Lower Div,the_determinant,https://drive.google.com/file/d/1Z_YYf4oYezK0GtkdN7UCUeYu_O16kigQ/view?usp=sharing,UCLA wants you to find the difference between….
path-to-success,Path to Success,north-campus,North Campus,Bunche Hall,https://bunchecenter.ucla.edu/wp-content/uploads/sites/97/2019/08/bunchehall-cropped.jpg,Blue,Lower Div,ACES,https://drive.google.com/file/d/1jW2dNSyfhwI2GIkYx4r_psEH6wUVRbsH/view?usp=sharing,"After your 8am class at Bunche Hall (Hexagons 101), will you be able to find your way to CS 31? Maybe it’s a great idea to get there quickly first, and then map out all the other options!"
793-message,793rd Message,south-campus,South Campus,Birthplace of the Internet room,https://conferences.ucla.edu/wp-content/uploads/2020/09/boelter-1024x752.jpg,Blue,Upper Div,HELI,https://drive.google.com/file/d/1HqSOAL2xSj1-qXw3-W42J0Ss4Zlpkbhb/view?usp=sharing,"After sending the 793rd message ever over the internet from Boelter Hall, you receive a cryptic reply."
